"Timestamp","RealValue","LearnedValue","Residual"
" 2024-01-05 09:14:45","4.168","",""
" 2024-01-05 09:14:52","4.161","",""
" 2024-01-05 09:15:00","4.165","",""
" 2024-01-05 09:15:08","4.165","",""
" 2024-01-05 09:15:16","4.162","",""
" 2024-01-05 09:15:23","4.151","",""
" 2024-01-05 09:15:31","4.158","",""
" 2024-01-05 09:15:39","4.158","",""
" 2024-01-05 09:15:46","4.162","",""
" 2024-01-05 09:15:54","4.157","",""
" 2024-01-05 09:16:02","4.165","",""
" 2024-01-05 09:16:10","4.16","",""
" 2024-01-05 09:16:17","4.158","",""
" 2024-01-05 09:16:25","4.156","",""
" 2024-01-05 09:16:33","4.156","",""
" 2024-01-05 09:16:40","4.153","",""
" 2024-01-05 09:16:48","4.161","",""
" 2024-01-05 09:16:56","4.162","",""
" 2024-01-05 09:17:04","4.156","",""
" 2024-01-05 09:17:11","4.157","",""
" 2024-01-05 09:17:19","4.161","",""
" 2024-01-05 09:17:26","4.158","",""
" 2024-01-05 09:17:34","4.149","",""
" 2024-01-05 09:17:42","4.154","",""
" 2024-01-05 09:17:49","4.158","",""
" 2024-01-05 09:17:57","4.165","",""
" 2024-01-05 09:18:05","4.175","",""
" 2024-01-05 09:18:13","4.165","",""
" 2024-01-05 09:18:20","4.154","",""
" 2024-01-05 09:18:28","4.157","",""
" 2024-01-05 09:18:35","4.157","",""
" 2024-01-05 09:18:43","4.164","",""
" 2024-01-05 09:18:51","4.156","",""
" 2024-01-05 09:18:58","4.162","",""
" 2024-01-05 09:19:07","4.154","",""
" 2024-01-05 09:19:15","4.162","",""
" 2024-01-05 09:19:22","4.161","",""
" 2024-01-05 09:19:30","4.158","",""
" 2024-01-05 09:19:38","4.165","",""
" 2024-01-05 09:19:46","4.16","",""
" 2024-01-05 09:19:53","4.153","",""
" 2024-01-05 09:20:01","4.16","",""
" 2024-01-05 09:20:08","4.161","",""
" 2024-01-05 09:20:15","4.16","",""
" 2024-01-05 09:20:24","4.164","",""
" 2024-01-05 09:20:32","4.173","",""
" 2024-01-05 09:20:38","4.161","",""
" 2024-01-05 09:20:46","4.156","",""
" 2024-01-05 09:20:55","4.158","",""
" 2024-01-05 09:21:02","4.151","",""
" 2024-01-05 09:21:09","4.165","",""
" 2024-01-05 09:21:17","4.158","",""
" 2024-01-05 09:21:25","4.169","",""
" 2024-01-05 09:21:32","4.157","",""
" 2024-01-05 09:21:40","4.161","",""
" 2024-01-05 09:21:48","4.173","",""
" 2024-01-05 09:21:56","4.15","",""
" 2024-01-05 09:22:03","4.151","",""
" 2024-01-05 09:22:11","4.157","",""
" 2024-01-05 09:22:19","4.15","",""
" 2024-01-05 09:22:26","4.158","",""
" 2024-01-05 09:22:34","4.167","",""
" 2024-01-05 09:22:42","4.172","",""
" 2024-01-05 09:22:50","4.156","",""
" 2024-01-05 09:22:57","4.151","",""
" 2024-01-05 09:23:05","4.162","",""
" 2024-01-05 09:23:13","4.165","",""
" 2024-01-05 09:23:20","4.153","",""
" 2024-01-05 09:23:28","4.146","",""
" 2024-01-05 09:23:36","4.153","",""
" 2024-01-05 09:23:44","4.168","",""
" 2024-01-05 09:23:51","4.154","",""
" 2024-01-05 09:23:59","4.149","",""
" 2024-01-05 09:24:07","4.157","",""
" 2024-01-05 09:24:14","4.161","",""
" 2024-01-05 09:24:22","4.153","",""
" 2024-01-05 09:24:30","4.165","",""
" 2024-01-05 09:24:38","4.165","",""
" 2024-01-05 09:24:45","4.151","",""
" 2024-01-05 09:24:53","4.165","",""
" 2024-01-05 09:25:01","4.16","",""
" 2024-01-05 09:25:08","4.161","",""
" 2024-01-05 09:25:16","4.158","",""
" 2024-01-05 09:25:24","4.156","",""
" 2024-01-05 09:25:32","4.162","",""
" 2024-01-05 09:25:39","4.175","",""
" 2024-01-05 09:25:47","4.164","",""
" 2024-01-05 09:25:55","4.167","",""
" 2024-01-05 09:26:02","4.16","",""
" 2024-01-05 09:26:10","4.161","",""
" 2024-01-05 09:26:18","4.151","",""
" 2024-01-05 09:26:25","4.156","",""
" 2024-01-05 09:26:33","4.16","",""
" 2024-01-05 09:26:41","4.156","",""
" 2024-01-05 09:26:50","4.145","",""
" 2024-01-05 09:26:56","4.153","",""
" 2024-01-05 09:27:05","4.162","",""
" 2024-01-05 09:27:13","4.162","",""
" 2024-01-05 09:27:20","4.16","",""
" 2024-01-05 09:27:28","4.153","",""
" 2024-01-05 09:27:36","4.161","",""
" 2024-01-05 09:27:44","4.158","",""
" 2024-01-05 09:27:51","4.153","",""
" 2024-01-05 09:27:59","4.151","",""
" 2024-01-05 09:28:07","4.158","",""
" 2024-01-05 09:28:14","4.154","",""
" 2024-01-05 09:28:22","4.158","",""
" 2024-01-05 09:28:30","4.164","",""
" 2024-01-05 09:28:38","4.162","",""
" 2024-01-05 09:28:45","4.157","",""
" 2024-01-05 09:28:53","4.165","",""
" 2024-01-05 09:29:01","4.162","",""
" 2024-01-05 09:29:16","4.16","",""
" 2024-01-05 09:29:24","4.153","",""
" 2024-01-05 09:29:32","4.151","",""
" 2024-01-05 09:29:39","4.164","",""
" 2024-01-05 09:29:48","4.153","",""
" 2024-01-05 09:29:56","4.162","",""
" 2024-01-05 09:30:03","4.153","",""
" 2024-01-05 09:30:11","4.168","",""
" 2024-01-05 09:30:19","4.156","",""
" 2024-01-05 09:30:27","4.162","",""
" 2024-01-05 09:30:42","4.156","",""
" 2024-01-05 09:30:50","4.145","",""
" 2024-01-05 09:30:57","4.156","",""
" 2024-01-05 09:31:05","4.162","",""
" 2024-01-05 09:31:13","4.168","",""
" 2024-01-05 09:31:21","4.156","",""
" 2024-01-05 09:31:28","4.156","",""
" 2024-01-05 09:31:36","4.167","",""
" 2024-01-05 09:31:44","4.162","",""
" 2024-01-05 09:31:51","4.156","",""
" 2024-01-05 09:31:59","4.16","",""
" 2024-01-05 09:32:07","4.157","",""
" 2024-01-05 09:32:15","4.154","",""
" 2024-01-05 09:32:22","4.16","",""
" 2024-01-05 09:32:30","4.162","",""
" 2024-01-05 09:32:38","4.154","",""
" 2024-01-05 09:32:45","4.157","",""
" 2024-01-05 09:32:53","4.15","",""
" 2024-01-05 09:33:00","4.169","",""
" 2024-01-05 09:33:08","4.151","",""
" 2024-01-05 09:33:15","4.16","",""
" 2024-01-05 09:33:30","4.151","",""
" 2024-01-05 09:33:37","4.158","",""
" 2024-01-05 09:33:46","4.153","",""
" 2024-01-05 09:33:53","4.168","",""
" 2024-01-05 09:34:01","4.16","",""
" 2024-01-05 09:34:08","4.161","",""
" 2024-01-05 09:34:16","4.158","",""
" 2024-01-05 09:34:25","4.161","",""
" 2024-01-05 09:34:31","4.16","",""
" 2024-01-05 09:34:40","4.161","",""
" 2024-01-05 09:34:48","4.164","",""
" 2024-01-05 09:34:54","4.157","",""
" 2024-01-05 09:35:03","4.168","",""
" 2024-01-05 09:35:10","4.16","",""
" 2024-01-05 09:35:19","4.156","",""
" 2024-01-05 09:35:25","4.16","",""
" 2024-01-05 09:35:33","4.154","",""
" 2024-01-05 09:35:41","4.162","",""
" 2024-01-05 09:35:48","4.162","",""
" 2024-01-05 09:35:57","4.153","",""
" 2024-01-05 09:36:04","4.158","",""
" 2024-01-05 09:36:12","4.157","",""
" 2024-01-05 09:36:19","4.15","",""
" 2024-01-05 09:36:27","4.161","",""
" 2024-01-05 09:36:35","4.156","",""
" 2024-01-05 09:36:42","4.157","",""
" 2024-01-05 09:36:51","4.156","",""
" 2024-01-05 09:36:58","4.157","",""
" 2024-01-05 09:37:06","4.158","",""
" 2024-01-05 09:37:13","4.161","",""
" 2024-01-05 09:37:21","4.156","",""
" 2024-01-05 09:37:29","4.146","",""
" 2024-01-05 09:37:36","4.162","",""
" 2024-01-05 09:37:44","4.165","",""
" 2024-01-05 09:37:52","4.168","",""
" 2024-01-05 09:38:00","4.151","",""
" 2024-01-05 09:38:07","4.164","",""
" 2024-01-05 09:38:15","4.153","",""
" 2024-01-05 09:38:23","4.16","",""
" 2024-01-05 09:38:30","4.157","",""
" 2024-01-05 09:38:38","4.16","",""
" 2024-01-05 09:38:46","4.158","",""
" 2024-01-05 09:38:54","4.168","",""
" 2024-01-05 09:39:01","4.167","",""
" 2024-01-05 09:39:09","4.165","",""
" 2024-01-05 09:39:17","4.168","",""
" 2024-01-05 09:39:24","4.154","",""
" 2024-01-05 09:39:32","4.158","",""
" 2024-01-05 09:39:40","4.157","",""
" 2024-01-05 09:39:48","4.162","",""
" 2024-01-05 09:39:55","4.154","",""
" 2024-01-05 09:40:03","4.164","",""
" 2024-01-05 09:40:11","4.157","",""
" 2024-01-05 09:40:18","4.153","",""
" 2024-01-05 09:40:26","4.156","",""
" 2024-01-05 09:40:34","4.157","",""
" 2024-01-05 09:40:41","4.158","",""
