Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:45:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:46:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:40,79.4,97.63,0.48,1.0,1.0
