Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-07 23:59:49,174.76,443.099,0.52
 2024-08-07 23:59:57,216.02,174.77,0.53
 2024-08-08 00:48:20,159.03,168.16,0.46
 2024-08-08 00:51:02,192.03,221.36,1.48
 2024-08-08 00:59:47,199.31,145.65,0.88
 2024-08-08 00:59:55,212.62,177.18,0.59
 2024-08-08 01:16:46,141.18,174.71,2.03
 2024-08-08 01:33:14,173.52,141.53,0.03
 2024-08-08 01:59:37,172.78,217.58,0.04
 2024-08-08 01:59:53,215.45,177.41,0.05
 2024-08-08 02:00:16,67.91,154.79,0.03
 2024-08-08 02:15:42,75.41,213.92,0.07
 2024-08-08 02:59:48,71.4,61.86,0.04
 2024-08-08 03:00:04,90.92,73.25,0.05
 2024-08-08 03:00:19,67.42,73.42,0.07
 2024-08-08 03:01:13,74.12,62.7,0.03
 2024-08-08 03:59:53,74.82,97.78,0.05
 2024-08-08 04:00:17,284.25,79.71,0.04
 2024-08-08 04:09:54,1.11,70.4,0.03
 2024-08-08 04:15:18,1.7,97.82,0.07
 2024-08-08 04:59:34,1.75,1.15,0.04
 2024-08-08 05:00:20,0.96,1.48,0.05
 2024-08-08 05:00:28,10.75,1.21,0.03
 2024-08-08 05:16:55,1.27,1.03,0.08
 2024-08-08 05:59:45,1.6,1.72,0.04
 2024-08-08 06:00:00,1.03,1.27,0.05
 2024-08-08 06:00:39,2.14,1.17,0.03
 2024-08-08 06:02:27,1.61,0.91,0.07
 2024-08-08 06:59:56,1.23,1.68,0.04
 2024-08-08 07:00:04,1.05,1.25,0.05
 2024-08-08 07:00:11,2.34,1.17,0.03
 2024-08-08 07:45:12,1.38,0.9,0.08
 2024-08-08 07:59:51,2.09,1.78,0.04
 2024-08-08 07:59:59,7.33,1.28,0.06
 2024-08-08 08:00:53,1.08,1.21,0.03
 2024-08-08 08:43:51,1.77,0.92,0.4
 2024-08-08 08:59:55,1.71,4.73,0.06
 2024-08-08 09:00:03,1.72,1.45,0.07
 2024-08-08 09:03:08,0.95,1.33,0.05
 2024-08-08 09:07:23,1.01,1.03,0.09
 2024-08-08 09:59:43,1.46,7.03,0.07
 2024-08-08 10:00:14,0.93,1.26,0.05
 2024-08-08 10:05:15,1.9,1.23,0.1
 2024-08-08 10:59:55,1.25,1.74,0.05
 2024-08-08 11:00:03,1.59,0.86,0.07
 2024-08-08 11:00:10,1.08,1.17,0.05
 2024-08-08 11:13:02,20.36,0.89,0.09
 2024-08-08 11:59:53,3.2,8.72,0.06
 2024-08-08 12:00:01,3.72,2.82,0.07
 2024-08-08 12:00:47,2.32,2.81,0.08
 2024-08-08 12:01:35,3.93,3.44,0.05
 2024-08-08 12:59:34,2.89,1.95,0.06
 2024-08-08 12:59:58,3.46,2.78,0.08
 2024-08-08 13:00:05,2.65,1.95,0.05
 2024-08-08 13:06:15,4.3,3.46,0.09
 2024-08-08 13:59:06,3.3,2.31,0.07
 2024-08-08 14:00:00,3.01,2.44,0.06
 2024-08-08 14:01:55,4.83,3.33,0.08
 2024-08-08 14:02:57,2.3,1.94,0.05
 2024-08-08 14:59:47,2.9,2.8,0.06
 2024-08-08 14:59:55,2.91,2.34,0.07
 2024-08-08 15:09:49,2.22,3.12,0.05
 2024-08-08 15:10:50,4.44,1.69,0.08
