Timestamp,3370-01-AI024,3370-01-AI025,3370-01-AI026,3370-01-AI027,3370-01-AI028,3370-01-AI029,3370-01-AI079,3370-01-AI078-1,3370-01-DTGATE-AI002
 2024-08-18 20:43:07,-0.049,-0.072,-0.075,-0.124,-0.071,-0.063,68.014,34.235,19.666
 2024-08-18 20:53:09,-0.048,0.024,-0.126,-0.123,-0.062,-0.064,68.142,34.109,19.971
 2024-08-18 21:03:11,-0.048,2.963,-0.125,-0.124,-0.062,-0.062,68.014,33.983,19.589
 2024-08-18 21:13:13,-0.049,2.917,-0.126,-0.124,-0.062,2.993,68.142,34.109,20.276
 2024-08-18 21:33:17,-0.048,2.914,-0.125,-0.123,-0.062,2.904,68.014,33.983,19.284
 2024-08-18 21:53:21,-0.048,2.945,-0.125,-0.124,-0.062,2.921,68.142,33.856,19.437
 2024-08-18 22:03:23,-0.049,2.885,-0.126,-0.124,-0.062,2.931,68.269,33.983,19.818
 2024-08-18 22:13:25,-0.048,2.918,-0.125,-0.123,-0.062,2.861,68.142,33.856,20.2
 2024-08-18 22:23:27,-0.049,2.892,-0.125,-0.124,-0.062,2.9,68.142,33.73,19.208
 2024-08-18 22:53:40,-0.048,2.942,-0.126,-0.057,-0.062,2.884,68.269,33.856,19.894
 2024-08-18 23:03:42,-0.049,2.873,-0.125,-0.058,-0.062,2.922,41.318,33.73,20.2
 2024-08-18 23:13:44,-0.049,2.903,-0.125,-0.057,-0.062,2.851,41.191,33.856,19.284
 2024-08-18 23:53:52,-0.048,2.892,-0.126,-0.059,-0.062,2.879,34.994,33.73,19.589
 2024-08-19 00:03:54,-0.049,2.939,-0.125,-0.059,-0.062,2.863,47.908,33.604,19.284
 2024-08-19 00:13:56,-0.049,2.868,-0.125,-0.058,-0.062,2.837,48.035,33.73,20.123
 2024-08-19 00:54:05,-0.048,2.912,-0.126,-0.059,-0.062,2.912,47.908,33.604,19.284
 2024-08-19 01:14:08,-0.049,2.905,-0.124,-0.059,-0.062,2.862,48.543,33.478,19.894
 2024-08-19 01:24:10,2.979,2.931,-0.125,-0.059,-0.062,2.864,48.67,33.604,19.742
 2024-08-19 01:34:12,2.941,2.876,-0.123,-0.059,-0.063,2.83,48.543,33.478,20.2
 2024-08-19 01:44:13,2.936,2.917,-0.08,-0.059,-0.062,2.923,48.796,32.72,20.123
 2024-08-19 02:04:17,2.896,2.886,-0.081,-0.059,-0.063,2.885,48.796,49.05,19.36
 2024-08-19 02:34:23,2.958,2.932,-0.081,-0.059,-0.062,2.867,48.923,49.177,19.894
 2024-08-19 02:44:26,2.948,2.879,2.993,-0.059,-0.124,2.843,48.796,49.05,19.284
 2024-08-19 02:54:28,2.921,2.907,2.93,-0.059,-0.119,2.908,48.923,49.558,20.047
 2024-08-19 03:04:30,2.895,2.912,2.933,-0.059,-0.059,2.881,49.05,49.685,19.36
 2024-08-19 03:24:40,2.954,2.924,2.905,-0.059,-0.06,2.877,48.923,49.558,19.971
 2024-08-19 03:44:45,2.931,-0.069,2.957,-0.059,-0.061,2.91,49.05,49.685,19.208
 2024-08-19 03:54:47,2.908,-0.069,2.931,-0.059,-0.06,-0.092,48.923,49.812,19.818
 2024-08-19 04:04:49,2.953,-0.069,2.926,-0.06,-0.06,-0.093,49.177,49.685,19.208
 2024-08-19 04:54:59,2.896,-0.071,2.9,-0.059,-0.061,-0.11,49.05,49.685,20.963
 2024-08-19 05:05:01,2.935,-0.07,2.957,-0.059,-0.06,-0.11,49.177,49.812,21.039
 2024-08-19 05:55:10,2.888,-0.072,2.928,-0.06,-0.061,-0.11,42.584,49.685,28.668
 2024-08-19 06:05:12,2.95,-0.072,2.916,-0.059,-0.062,-0.112,42.458,49.812,30.804
 2024-08-19 06:35:19,2.905,-0.071,2.96,-0.06,-0.061,-0.112,36.637,49.685,32.407
 2024-08-19 06:55:23,2.919,-0.072,2.901,-0.059,-0.061,-0.113,36.51,37.016,31.415
 2024-08-19 07:05:33,2.939,-0.072,2.913,-0.124,-0.062,-0.112,35.499,36.89,31.186
 2024-08-19 07:15:34,-0.07,-0.072,2.904,-0.071,-0.061,-0.112,35.625,35.373,31.72
 2024-08-19 07:55:42,-0.071,-0.072,2.892,-0.07,-0.062,-0.113,35.499,64.952,30.423
 2024-08-19 08:05:44,-0.07,-0.072,2.96,-0.061,-0.061,-0.112,35.625,65.08,30.881
 2024-08-19 08:25:48,-0.072,-0.072,2.902,-0.062,-0.062,-0.113,35.246,64.952,29.965
 2024-08-19 08:56:02,-0.072,-0.072,2.915,-0.061,-0.062,-0.112,35.373,66.1,30.423
 2024-08-19 09:26:08,-0.071,-0.072,2.96,-0.062,-0.062,-0.114,35.246,66.228,29.355
 2024-08-19 09:36:10,-0.072,-0.073,2.895,-0.061,-0.062,-0.114,35.373,66.1,29.279
 2024-08-19 09:56:13,-0.072,-0.072,2.909,-0.062,-0.062,-0.114,35.246,66.483,29.813
 2024-08-19 10:06:15,-0.072,-0.073,2.934,-0.061,-0.062,-0.114,35.12,66.483,29.507
 2024-08-19 10:16:25,-0.072,-0.072,2.953,-0.061,-0.062,-0.114,35.246,66.61,29.66
 2024-08-19 10:56:40,-0.072,-0.073,-0.066,-0.062,-0.062,-0.115,35.12,66.483,28.973
 2024-08-19 11:06:42,-0.073,-0.073,-0.067,-0.061,-0.062,-0.114,34.994,66.61,29.05
