_time,_value
2024-09-28 03:47:00+09:00,60.51503087247542
2024-09-28 03:48:00+09:00,60.07730450133333
2024-09-28 03:49:00+09:00,60.039258873422995
2024-09-28 03:50:00+09:00,60.17889742783178
2024-09-28 03:51:00+09:00,60.278223542342836
2024-09-28 03:52:00+09:00,60.511240534954226
2024-09-28 03:53:00+09:00,60.51795166534995
2024-09-28 03:54:00+09:00,60.51836013632475
2024-09-28 03:55:00+09:00,60.604469095164504
2024-09-28 03:56:00+09:00,60.73628163498376
2024-09-28 03:57:00+09:00,60.89380079602226
2024-09-28 03:58:00+09:00,61.071029566901736
2024-09-28 03:59:00+09:00,61.1839708858445
2024-09-28 04:00:00+09:00,61.826627641855495
2024-09-28 04:01:00+09:00,61.01900267586875
2024-09-28 04:02:00+09:00,61.09109878185976
2024-09-28 04:03:00+09:00,61.11691870792512
2024-09-28 04:04:00+09:00,61.30846515733026
2024-09-28 04:05:00+09:00,61.33574078952674
2024-09-28 04:06:00+09:00,61.400748221140034
2024-09-28 04:07:00+09:00,61.431490026928884
2024-09-28 04:08:00+09:00,61.497968740717084
2024-09-28 04:09:00+09:00,61.60018685629896
2024-09-28 04:10:00+09:00,61.69014682831909
2024-09-28 04:11:00+09:00,61.795851073127395
2024-09-28 04:12:00+09:00,62.007301969610396
2024-09-28 04:13:00+09:00,63.03250185999934
2024-09-28 04:14:00+09:00,62.5794530506561
2024-09-28 04:15:00+09:00,62.39415781283755
2024-09-28 04:16:00+09:00,62.340618383439065
2024-09-28 04:17:00+09:00,62.59483696571797
2024-09-28 04:18:00+09:00,62.638815729997475
2024-09-28 04:19:00+09:00,62.75055681435181
2024-09-28 04:20:00+09:00,62.86206232527312
2024-09-28 04:21:00+09:00,62.829334338320734
2024-09-28 04:22:00+09:00,63.03637489875338
2024-09-28 04:23:00+09:00,62.99118602214491
2024-09-28 04:24:00+09:00,63.053769694983984
2024-09-28 04:25:00+09:00,63.14812787525831
2024-09-28 04:26:00+09:00,64.04426249302381
2024-09-28 04:27:00+09:00,63.81417545095937
2024-09-28 04:28:00+09:00,63.15586862490738
2024-09-28 04:29:00+09:00,63.18934386440073
2024-09-28 04:30:00+09:00,63.36860299317655
2024-09-28 04:31:00+09:00,63.409647809677
2024-09-28 04:32:00+09:00,63.626480087537885
2024-09-28 04:33:00+09:00,63.68710157606493
2024-09-28 04:34:00+09:00,63.859514000698546
2024-09-28 04:35:00+09:00,63.86571906346718
2024-09-28 04:36:00+09:00,63.94371844342961
2024-09-28 04:37:00+09:00,63.88551379710664
2024-09-28 04:38:00+09:00,63.99510675890238
2024-09-28 04:39:00+09:00,64.06449894151541
2024-09-28 04:40:00+09:00,65.23369193634025
2024-09-28 04:41:00+09:00,64.43268731385929
2024-09-28 04:42:00+09:00,64.38548662402545
2024-09-28 04:43:00+09:00,64.51009139663603
2024-09-28 04:44:00+09:00,64.71650314169764
2024-09-28 04:45:00+09:00,64.76672334978295
2024-09-28 04:46:00+09:00,64.74075349237889
2024-09-28 04:47:00+09:00,65.03859502222713
2024-09-28 04:48:00+09:00,64.96824937365673
2024-09-28 04:49:00+09:00,65.05771796290915
2024-09-28 04:50:00+09:00,65.18700218845599
2024-09-28 04:51:00+09:00,65.1641034313096
2024-09-28 04:52:00+09:00,65.17102305532669
2024-09-28 04:53:00+09:00,66.26976240750525
2024-09-28 04:54:00+09:00,65.60632281827486
2024-09-28 04:55:00+09:00,65.32470560178061
2024-09-28 04:56:00+09:00,65.41491205616074
2024-09-28 04:57:00+09:00,65.43494346381837
2024-09-28 04:58:00+09:00,65.66280109168716
2024-09-28 04:59:00+09:00,65.68248619149131
2024-09-28 05:00:00+09:00,65.74600000000001
2024-09-28 05:01:00+09:00,65.76599999999999
2024-09-28 05:02:00+09:00,65.44152542372882
2024-09-28 05:03:00+09:00,64.85305084745762
2024-09-28 05:04:00+09:00,64.38057627118644
2024-09-28 05:05:00+09:00,63.87210169491525
2024-09-28 05:06:00+09:00,63.75562711864407
2024-09-28 05:07:00+09:00,63.47515254237288
2024-09-28 05:08:00+09:00,62.1106779661017
2024-09-28 05:09:00+09:00,61.52220338983051
2024-09-28 05:10:00+09:00,61.035728813559324
2024-09-28 05:11:00+09:00,60.551254237288134
2024-09-28 05:12:00+09:00,60.10077966101695
2024-09-28 05:13:00+09:00,59.59830508474577
2024-09-28 05:14:00+09:00,59.00983050847457
2024-09-28 05:15:00+09:00,58.50335593220339
2024-09-28 05:16:00+09:00,57.8528813559322
2024-09-28 05:17:00+09:00,57.33240677966102
2024-09-28 05:18:00+09:00,56.79993220338983
2024-09-28 05:19:00+09:00,56.35145762711864
2024-09-28 05:20:00+09:00,57.13098305084746
2024-09-28 05:21:00+09:00,55.78850847457627
2024-09-28 05:22:00+09:00,55.10803389830509
2024-09-28 05:23:00+09:00,54.5755593220339
2024-09-28 05:24:00+09:00,54.203084745762716
2024-09-28 05:25:00+09:00,53.63861016949153
2024-09-28 05:26:00+09:00,53.10213559322034
2024-09-28 05:27:00+09:00,52.61366101694915
2024-09-28 05:28:00+09:00,52.06918644067797
2024-09-28 05:29:00+09:00,51.48671186440678
2024-09-28 05:30:00+09:00,51.23223728813559
2024-09-28 05:31:00+09:00,50.82176271186441
2024-09-28 05:32:00+09:00,50.167288135593225
2024-09-28 05:33:00+09:00,50.408813559322034
2024-09-28 05:34:00+09:00,49.21433898305085
2024-09-28 05:35:00+09:00,48.32186440677966
2024-09-28 05:36:00+09:00,47.78938983050847
2024-09-28 05:37:00+09:00,47.170915254237286
2024-09-28 05:38:00+09:00,46.6744406779661
2024-09-28 05:39:00+09:00,46.31796610169492
2024-09-28 05:40:00+09:00,45.77149152542373
2024-09-28 05:41:00+09:00,45.17301694915254
2024-09-28 05:42:00+09:00,44.71654237288136
2024-09-28 05:43:00+09:00,44.160067796610164
2024-09-28 05:44:00+09:00,43.65759322033898
2024-09-28 05:45:00+09:00,43.2031186440678
2024-09-28 05:46:00+09:00,42.77664406779661
2024-09-28 05:47:00+09:00,42.97816949152543
2024-09-28 05:48:00+09:00,41.783694915254245
2024-09-28 05:49:00+09:00,41.27322033898305
2024-09-28 05:50:00+09:00,40.75874576271187
2024-09-28 05:51:00+09:00,40.23427118644068
2024-09-28 05:52:00+09:00,39.78979661016949
2024-09-28 05:53:00+09:00,39.047322033898304
2024-09-28 05:54:00+09:00,38.69084745762712
2024-09-28 05:55:00+09:00,38.26837288135593
2024-09-28 05:56:00+09:00,37.75589830508475
2024-09-28 05:57:00+09:00,37.17942372881356
2024-09-28 05:58:00+09:00,36.65494915254237
2024-09-28 05:59:00+09:00,36.13047457627118
2024-09-28 06:00:00+09:00,36.508
2024-09-28 06:01:00+09:00,35.71
2024-09-28 06:02:00+09:00,35.678
2024-09-28 06:03:00+09:00,35.556
2024-09-28 06:04:00+09:00,35.572
2024-09-28 06:05:00+09:00,35.544
2024-09-28 06:06:00+09:00,35.632
2024-09-28 06:07:00+09:00,35.54
2024-09-28 06:08:00+09:00,35.598
2024-09-28 06:09:00+09:00,35.648
2024-09-28 06:10:00+09:00,35.678
2024-09-28 06:11:00+09:00,35.596
2024-09-28 06:12:00+09:00,35.604
2024-09-28 06:13:00+09:00,36.454
2024-09-28 06:14:00+09:00,35.958
2024-09-28 06:15:00+09:00,35.496
2024-09-28 06:16:00+09:00,35.666
2024-09-28 06:17:00+09:00,35.646
2024-09-28 06:18:00+09:00,35.62
2024-09-28 06:19:00+09:00,35.584
2024-09-28 06:20:00+09:00,35.596
2024-09-28 06:21:00+09:00,35.58
2024-09-28 06:22:00+09:00,35.592
2024-09-28 06:23:00+09:00,35.622
2024-09-28 06:24:00+09:00,35.658
2024-09-28 06:25:00+09:00,35.544
2024-09-28 06:26:00+09:00,35.67
2024-09-28 06:27:00+09:00,36.488
2024-09-28 06:28:00+09:00,35.552
2024-09-28 06:29:00+09:00,35.516
2024-09-28 06:30:00+09:00,35.46
2024-09-28 06:31:00+09:00,35.392
2024-09-28 06:32:00+09:00,35.492
2024-09-28 06:33:00+09:00,35.528
2024-09-28 06:34:00+09:00,35.61
2024-09-28 06:35:00+09:00,35.612
2024-09-28 06:36:00+09:00,35.464
2024-09-28 06:37:00+09:00,35.416
2024-09-28 06:38:00+09:00,35.528
2024-09-28 06:39:00+09:00,35.44
2024-09-28 06:40:00+09:00,36.498
2024-09-28 06:41:00+09:00,35.91
2024-09-28 06:42:00+09:00,35.532
2024-09-28 06:43:00+09:00,35.52
2024-09-28 06:44:00+09:00,35.532
2024-09-28 06:45:00+09:00,35.56
2024-09-28 06:46:00+09:00,35.552
2024-09-28 06:47:00+09:00,35.632
2024-09-28 06:48:00+09:00,35.798
2024-09-28 06:49:00+09:00,35.632
2024-09-28 06:50:00+09:00,35.528
2024-09-28 06:51:00+09:00,35.536
2024-09-28 06:52:00+09:00,35.576
2024-09-28 06:53:00+09:00,36.606
2024-09-28 06:54:00+09:00,36.1
2024-09-28 06:55:00+09:00,35.598
2024-09-28 06:56:00+09:00,35.632
2024-09-28 06:57:00+09:00,35.556
2024-09-28 06:58:00+09:00,35.556
2024-09-28 06:59:00+09:00,35.578
2024-09-28 07:00:00+09:00,65.53999999999999
