iter	Passed	Remaining
824	1160	246
825	1162	244
826	1162	243
827	1164	241
828	1165	240
829	1166	238
830	1167	237
831	1169	236
832	1170	234
833	1172	233
834	1173	231
835	1174	230
836	1175	228
837	1177	227
838	1178	226
839	1179	224
840	1180	223
841	1182	221
842	1183	220
843	1184	219
844	1186	217
845	1187	216
846	1188	214
847	1190	213
848	1191	211
849	1192	210
850	1193	208
851	1194	207
852	1196	206
853	1197	204
854	1198	203
855	1200	201
856	1201	200
857	1203	199
858	1204	197
859	1206	196
860	1207	194
861	1208	193
862	1210	192
863	1211	190
864	1212	189
865	1213	187
866	1215	186
867	1217	185
868	1218	183
869	1219	182
870	1220	180
871	1222	179
872	1223	177
873	1224	176
874	1225	175
875	1227	173
876	1228	172
877	1229	170
878	1231	169
879	1232	168
880	1233	166
881	1234	165
882	1235	163
883	1236	162
884	1237	160
885	1238	159
886	1240	158
887	1241	156
888	1243	155
889	1244	153
890	1245	152
891	1247	150
892	1248	149
893	1249	148
894	1250	146
895	1251	145
896	1253	143
897	1254	142
898	1256	141
899	1257	139
900	1258	138
901	1259	136
902	1261	135
903	1262	134
904	1263	132
905	1264	131
906	1265	129
907	1267	128
908	1268	126
909	1269	125
910	1270	124
911	1272	122
912	1273	121
913	1274	119
914	1275	118
915	1276	117
916	1278	115
917	1280	114
918	1281	112
919	1282	111
920	1284	110
921	1285	108
922	1286	107
923	1287	105
924	1289	104
925	1290	103
926	1292	101
927	1293	100
928	1294	98
929	1295	97
930	1297	96
931	1298	94
932	1299	93
933	1301	91
934	1302	90
935	1304	89
936	1305	87
937	1306	86
938	1307	84
939	1309	83
940	1310	82
941	1312	80
942	1313	79
943	1314	77
944	1316	76
945	1317	75
946	1319	73
947	1320	72
948	1321	71
949	1323	69
950	1324	68
951	1326	66
952	1327	65
953	1328	64
954	1330	62
955	1331	61
956	1332	59
957	1333	58
958	1334	57
959	1336	55
960	1338	54
961	1339	52
962	1342	51
963	1343	50
964	1344	48
965	1345	47
966	1347	45
967	1348	44
968	1349	43
969	1350	41
970	1351	40
971	1353	38
972	1354	37
973	1356	36
974	1357	34
975	1358	33
976	1359	32
977	1361	30
978	1362	29
979	1363	27
980	1364	26
981	1366	25
982	1367	23
983	1368	22
984	1370	20
985	1371	19
986	1372	18
987	1374	16
988	1375	15
989	1376	13
990	1377	12
991	1378	11
992	1380	9
993	1381	8
994	1382	6
995	1383	5
996	1384	4
997	1386	2
998	1388	1
999	1389	0
