Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-22 13:56:11,8.74,8.105,9.371,52.469,53.125
 2024-09-22 13:59:55,9.014,8.408,9.362,52.393,53.064
 2024-09-22 14:00:03,8.959,8.32,9.385,52.377,53.117
 2024-09-22 14:03:00,8.991,8.343,9.28,52.347,53.041
 2024-09-22 14:53:25,8.923,7.204,9.303,52.621,53.278
 2024-09-22 14:59:58,9.129,8.644,9.298,52.568,53.247
 2024-09-22 15:00:06,9.097,8.324,9.326,52.599,53.232
 2024-09-22 15:56:25,9.092,8.374,9.225,52.507,50.729
 2024-09-22 15:58:13,9.078,8.232,9.229,52.759,55.246
 2024-09-22 15:59:54,9.257,8.429,9.239,52.728,54.262
 2024-09-22 16:00:01,9.248,8.391,9.165,52.713,54.727
 2024-09-22 16:00:48,9.252,8.4,9.294,52.675,55.002
 2024-09-22 16:01:57,7.906,7.933,9.261,52.904,53.896
 2024-09-22 16:59:57,10.9,9.646,9.266,52.873,54.575
 2024-09-22 17:00:05,9.467,8.383,9.261,52.896,54.544
 2024-09-22 17:08:19,9.472,8.368,9.261,52.812,54.971
 2024-09-22 17:51:39,9.467,8.387,9.266,53.049,50.89
 2024-09-22 17:59:52,9.477,8.383,9.307,53.011,52.469
 2024-09-22 18:00:00,9.467,8.397,7.151,53.026,52.667
 2024-09-22 18:11:19,9.472,8.379,8.863,52.965,52.85
 2024-09-22 18:21:06,9.467,8.383,8.868,53.201,51.256
 2024-09-22 18:59:57,9.467,8.381,8.882,53.156,51.569
 2024-09-22 19:00:05,9.472,8.383,8.772,53.14,51.508
 2024-09-22 19:24:15,9.467,8.381,8.827,50.638,52.423
 2024-09-22 19:46:46,9.467,8.383,8.776,55.185,50.5
 2024-09-22 19:59:53,9.472,8.381,8.831,54.201,50.897
 2024-09-22 20:00:00,6.597,8.379,8.726,54.666,51.05
 2024-09-22 20:55:10,9.756,8.381,8.744,54.926,50.294
 2024-09-22 20:57:22,9.422,8.379,8.73,53.827,53.575
 2024-09-22 20:59:56,9.426,6.331,7.632,54.506,52.141
 2024-09-22 21:00:04,9.449,8.73,8.84,54.483,51.988
 2024-09-22 21:17:56,9.339,8.347,8.589,54.91,51.813
 2024-09-22 21:31:57,9.367,8.337,8.598,50.882,54.437
 2024-09-22 21:59:59,9.362,8.377,8.625,52.461,53.552
 2024-09-22 22:00:07,9.38,8.253,8.451,52.66,53.491
 2024-09-22 22:15:25,9.271,8.284,8.492,52.827,52.538
 2024-09-22 22:17:52,9.298,8.292,8.474,51.263,53.957
 2024-09-22 22:59:55,9.271,8.295,8.396,51.561,53.072
 2024-09-22 23:00:02,9.33,8.192,10.415,51.508,52.988
 2024-09-22 23:12:31,9.225,8.217,8.763,52.408,56.459
 2024-09-22 23:13:32,9.243,8.215,8.758,50.508,52.263
 2024-09-22 23:59:58,9.239,8.257,8.776,50.897,53.209
 2024-09-23 00:00:06,11.138,5.776,8.676,51.065,53.171
 2024-09-23 00:00:13,9.023,7.948,8.698,50.302,53.156
 2024-09-23 00:01:07,9.261,7.941,8.703,53.537,53.354
 2024-09-23 00:59:53,9.266,7.971,9.321,52.103,53.293
 2024-09-23 01:00:01,9.261,7.811,8.538,51.942,53.3
 2024-09-23 01:00:09,9.261,7.817,8.689,51.775,53.308
 2024-09-23 01:00:55,9.266,7.826,8.662,54.445,53.201
 2024-09-23 01:59:42,6.909,7.738,8.584,53.491,53.224
 2024-09-23 02:00:06,9.467,8.85,8.735,53.43,53.232
 2024-09-23 02:00:37,8.863,7.807,8.593,52.476,53.285
 2024-09-23 02:01:31,8.845,7.811,8.611,53.888,53.224
 2024-09-23 02:59:54,8.882,7.819,8.41,53.003,53.27
 2024-09-23 03:00:01,8.781,7.716,10.099,52.927,53.262
 2024-09-23 03:00:32,8.827,7.748,8.882,56.375,53.232
 2024-09-23 03:01:19,8.79,7.756,8.74,52.202,53.278
